song_title,artist,INDEX-VAL,index
Standard,Empress Of,0.174376,564
It #1,Ty Segall,0.17472,565
My Old Man,Zac Brown Band,0.17472,566
Back To God,Reba McEntire,0.174736,567
You're the Best,Wet,0.174762,568
Hold Up,Borgeous,0.174782,569
Tears,Matt Hammitt,0.175252,570
Nothing Ever Happened,Deerhunter,0.176638,571
Faded - Slushii Remix,Alan Walker,0.1768,572
Live Your Life - feat. Rihanna,T.I.,0.177,573
Litty (feat. Tory Lanez),Meek Mill,0.177008,574
Cry Like A Ghost,Passion Pit,0.177045,575
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,0.17748,576
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,0.17748,577
Heroes (we could be),Alesso,0.17799,578
Go,Grimes,0.178848,579
Dirty Waters,Into Oblivion,0.17919,580
I Wanna Get Better,Bleachers,0.179292,581
Myth,Beach House,0.180992,582
Myth,Beach House,0.180992,583
Hot Dreams,Timber Timbre,0.181365,584
There’s A Girl,Trent Harmon,0.181447,585
Chain Breaker,Zach Williams,0.18145,586
All Aloud,Adrian Lux,0.182208,587
Be There,Krewella,0.182479,588
Breathe Again,Toni Braxton,0.182585,589
Bad and Boujee (feat. Lil Uzi Vert),Migos,0.182988,590
Remember,Gino Soccio,0.183133,591
Now I Do What I Want,Lil Zay Poppin,0.183138,592
Passing Out Pieces,Mac Demarco,0.18348,593
Nite Time - Ruby & Tony Radio Edit,George Acosta,0.183774,594
Blue and Sentimental,Julian Dash,0.18392,595
I'll Never Break Your Heart,Backstreet Boys,0.18445,596
Magnolia,Young & Sick,0.184734,597
Counting,Autre Ne Veut,0.184782,598
They Don't Know,Jason Aldean,0.184884,599
Run,Okdal,0.185168,600
Either Way,Chris Stapleton,0.185249,601
Look Alive,Rae Sremmurd,0.185334,602
Strychnine,The Sonics,0.185691,603
Over And Over Again,Nathan Sykes,0.18612,604
BKNY,Fat Tony,0.186282,605
Count On You,Big Time Rush,0.186296,606
Ohio - filous Remix,Damien Jurado,0.186888,607
Without U,Steve Aoki,0.187143,608
My Romance,Gene Ammons,0.187312,609
Freesol (feat. Skyler Stonestreet),Seven Lions,0.187389,610
Kiwi,Harry Styles,0.1875,611
Bad Boys (feat. Ghetts and J Hus),Stormzy,0.187533,612
Light - Loosid Remix,San Holo,0.18824,613
25 Bucks [feat. Purity Ring],Danny Brown,0.188703,614
Best Wishes,Iamsu!,0.189088,615
Beauty and the Beast,Bugzy Malone,0.189854,616
Ego Free Sex Free,Autre Ne Veut,0.190384,617
Portugal,WALK THE MOON,0.190888,618
Wi Ing Wi Ing,Hyukoh,0.191675,619
Idols Become Rivals,Rick Ross,0.191919,620
Confident,Demi Lovato,0.191958,621
Push,Matchbox Twenty,0.19278,622
Hurricane,Luke Combs,0.193591,623
Eyes Wide Open,Sabrina Carpenter,0.193966,624
All We Need (feat. Shy Girls),ODESZA,0.194488,625
Young And Menace,Fall Out Boy,0.195048,626
When Will I Learn,Kina Grannis,0.195453,627
Lean On (feat. MØ & DJ Snake),Major Lazer,0.195933,628
Virile,The Blaze,0.196231,629
No Type,Rae Sremmurd,0.196248,630
Loner,Burial,0.196742,631
Aamon,Kuuro,0.196945,632
GOT IT GOOD,KAYTRANADA,0.19695,633
In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,0.19698,634
18 With A Bullet,Pete Wingfield,0.19708,635
Walkabout (W/ Noah Lennox),Atlas Sound,0.197248,636
Coming Home,Leon Bridges,0.197274,637
Sex on Fire,Kings of Leon,0.19783,638
HOW WAS YOUR DAY,Sugarbowl,0.1981,639
Falling Back - Radio Edit,Cosmic Gate,0.198208,640
Versace Python,Riff Raff,0.198432,641
Just A Little Lovin',Dusty Springfield,0.198594,642
What I Might Do - Kilter Remix,Ben Pearce,0.199444,643
Against All Odds (Take a Look at Me Now),Mariah Carey,0.200196,644
Comeback Kid,Sleigh Bells,0.2002,645
Wakin on a Pretty Day,Kurt Vile,0.200491,646
We Exist,Arcade Fire,0.200718,647
On'n'On - Ruined by Rick Rubin,Justice,0.200736,648
Take Care,Drake,0.201433,649
Char,Crystal Castles,0.201929,650
Lofticries,Purity Ring,0.202642,651
Light House,Future Islands,0.202752,652
Like Home,Colin & Caroline,0.202927,653
White Iverson,Post Malone,0.203476,654
Solicitude,Belie My Burial,0.20384,655
Grinder,Gary Clark Jr.,0.203928,656
Baby,Ariel Pink's Haunted Graffiti,0.204016,657
Again,Fetty Wap,0.204204,658
The Devil's Den,Skrillex,0.204512,659
Hills and Valleys (The Valleys Version),Tauren Wells,0.204606,660
Slow Jam,Usher,0.204692,661
Motherless Child,Romare,0.204984,662
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,0.205092,663
If I Gave You My Love,Myron & E,0.205312,664
Max Can't Surf,FIDLAR,0.20544,665
Play This (Also),J Rocc,0.205572,666
Save the World - Radio Mix,Swedish House Mafia,0.205842,667
Work This Body,WALK THE MOON,0.205869,668
For Your Love,The Yardbirds,0.206118,669
Char,Crystal Castles,0.20672,670
Like Nobody's Around,Big Time Rush,0.206858,671
Symphony of the Nymph,Ariel Pink's Haunted Graffiti,0.207018,672
Trying To Drive,Zac Brown Band,0.207452,673
Giudecca,Ghost Culture,0.208356,674
If You Could Only See,Tonic,0.208917,675
Lonely Boy,The Black Keys,0.210752,676
Man I Need,Jagwar Ma,0.210838,677
Centuries,Fall Out Boy,0.21098,678
Hated,Beartooth,0.211596,679
Oh,FIDLAR,0.212004,680
Fried Neck Bones And Some Home Fries - Dan The Automator Remix,Willie Bobo,0.212036,681
Sneakin’,Drake,0.212256,682
Right In,Skrillex,0.212424,683
Man In The Mirror,Michael Jackson,0.212792,684
"Afraid, Unafraid",SLUMBERJACK,0.213187,685
Memorial Day,The Accidentals,0.2132,686
Hearteater,To The Grave,0.214676,687
Calm Down,G-Eazy,0.2148,688
I Ain't Trippin off Nothin,Ezale,0.215107,689
Get Away,CHVRCHES,0.215517,690
Mmm Mmm Mmm Mmm,Crash Test Dummies,0.21576,691
Glimpse,Kim Walker-Smith,0.216027,692
Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle,0.216511,693
Kathy Lee,Jessy Lanza,0.216651,694
Acamar,Frankey,0.216767,695
Black And White,Parquet Courts,0.217194,696
Love Wins,Love and Theft,0.217338,697
Fiesta - Remix,Bomba Estéreo,0.217356,698
Ki-dult,SBGB,0.217932,699
Can't Blame a Girl for Trying,Sabrina Carpenter,0.218064,700
Look At Wrist,Father,0.218124,701
Make U Love Me,Tujamo,0.218272,702
Carl Sagan,Night Moves,0.21855,703
Now Is Not the Time,CHVRCHES,0.219075,704
One Life Short,Geoxor,0.219505,705
Let Me Show You Love,Cut Copy,0.219837,706
Blackout - Madison Mars Radio Mix,Tritonal,0.22022,707
Get Up,Craig Bratley,0.220849,708
Coucou disco,Dim Sum,0.220968,709
Loop,NELL,0.221052,710
Malibu,Miley Cyrus,0.22148,711
"Hold On, We're Going Home",Drake,0.221564,712
Caramel,Booba,0.22177,713
My Sunshine,Ty Segall,0.221917,714
Tupelo,Steve Cropper,0.22194,715
Need You Now,Cut Copy,0.222035,716
Clouds Over the Pacific,James Pants,0.222229,717
Magnify,We Are Messengers,0.222438,718
dance yrself clean - live at madison square garden,LCD Soundsystem,0.2232,719
Black Skinhead,Kanye West,0.2232,720
Next Order,Dog Blood,0.22344,721
Won't Look Back,Duke Dumont,0.223844,722
Mykonos (feat. Fleet Foxes),Rhythms Del Mundo,0.223846,723
Home,Chris Tomlin,0.224172,724
Sophia So Far,Goodnight Radio,0.224338,725
1-800-273-8255,Logic,0.224542,726
300 Violin Orchestra,Jorge Quintero,0.22458,727
Back to You,WILD,0.225049,728
Fuck It All Up (feat. JVZEL),DOLF,0.225228,729
I Don't Want,Jungkey,0.225446,730
Primetime (feat. Miguel),Janelle Monáe,0.225446,731
Now Is Not The Time,CHVRCHES,0.225981,732
Time Has Come Today,The Chambers Brothers,0.225984,733
Learn to Fly,Foo Fighters,0.226524,734
More Than Conquerors (Radio Version),Steven Curtis Chapman,0.22672,735
Walk Away,LVNDSCAPE,0.226795,736
In Case You Didn't Know,Brett Young,0.227076,737
Childs Play,Drake,0.227612,738
Cavern,Liquid Liquid,0.227788,739
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,0.228232,740
VHS Sex,Com Truise,0.228276,741
Second Song,TV On The Radio,0.228651,742
Turn up the Speakers - Radio Edit,Afrojack,0.229052,743
Falling,HAIM,0.22971,744
Cemalim,Erkin Koray,0.229743,745
The Jam,Kideko,0.22984,746
She Looks So Perfect,5 Seconds of Summer,0.230231,747
Nightcall,Kavinsky,0.230585,748
Flag of the Beast,Emmure,0.230585,749
Flutes,Hot Chip,0.230794,750
Black Out Days,Phantogram,0.230892,751
September Song,JP Cooper,0.231133,752
How You Remind Me - LP Mix,Nickelback,0.23192,753
Choices (Yup),E-40,0.232029,754
Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign,0.232092,755
Battles,The Afters,0.23229,756
Oh lala,PNL,0.232362,757
Traffic,Lil Reese,0.232448,758
Embody,Sebastian,0.232552,759
Fuego,Alok,0.23256,760
I Keep Ticking On,The Harmaleighs,0.232974,761
Talk About,Les Sins,0.233618,762
N.O. Bounce,Big Freedia,0.234215,763
Hey Jealousy,Gin Blossoms,0.23432,764
Drunk in Love,Beyoncé,0.234422,765
Do I Wanna Know?,Arctic Monkeys,0.234544,766
For You I Will,Monica,0.23472,767
All I Know,EDX,0.235504,768
Counting Down The Days - Yotto Edit,Above & Beyond,0.236544,769
Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran,0.236654,770
Location,Khalid,0.236992,771
Photograph (feat. Bea Miller),Boyce Avenue,0.237327,772
Mask Off,Future,0.238238,773
Mask Off,Future,0.238238,774
Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,0.238784,775
1-800-273-8255,Logic,0.23902,776
Kenosha,Swearin',0.23904,777
This Time Around,Softwar,0.239085,778
Métele,Buscabulla,0.239232,779
Speakerbox (feat. Lafa Taylor),Bassnectar,0.239304,780
Please Stop Making Fake Versace,Father,0.23961,781
I've Seen Footage,Death Grips,0.239994,782
Slow Down,Poolside,0.2401,783
Treat Me Like Fire,LION BABE,0.24012,784
No Woman,Whitney,0.240948,785
Wildcard,Mickey Valen,0.241074,786
Sacrilege,Yeah Yeah Yeahs,0.241224,787
Fight,Nicolas Jaar,0.24123,788
Waitin for You,Demi Lovato,0.241257,789
Reckless (With Your Love) - Tensnake Remix,Azari & III,0.24217,790
Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,0.24219,791
Like You That Way,Canaan Smith,0.24272,792
Sweet Memories,CID,0.24336,793
Look At Wrist,Father,0.243483,794
Dear No One,Tori Kelly,0.243522,795
Stay (with Alessia Cara),Zedd,0.244495,796
Work REMIX,A$AP Ferg,0.244731,797
Getting Over You,Jackie Lee,0.244868,798
Man Don't Care,Jme,0.244972,799
San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,Scott McKenzie,0.245456,800
Blood On the Money,Future,0.245696,801
Lose My Mind,A-Trak,0.245778,802
Tupelo - Part 1,Pop Staples,0.245872,803
Lazuli,Beach House,0.246006,804
They Come in Gold,Shabazz Palaces,0.246026,805
Ambling Alp,Yeasayer,0.24654,806
Fineshrine,Purity Ring,0.246645,807
When Can I See You Again?,Owl City,0.247352,808
Everywhere,Michelle Branch,0.247379,809
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,0.247923,810
Big Rings,Drake,0.24806,811
Best I Ever Had,Drake,0.248087,812
Check,Young Thug,0.248124,813
Airplanes (feat. Hayley Williams of Paramore),B.o.B,0.24816,814
Pony,Pretty Sister,0.248213,815
Get It In,Iamsu!,0.248376,816
Test Me,Flosstradamus & DJ Sliink,0.248387,817
I Choose You,Willie Hutch,0.248708,818
Space Cakes - Original,Tanner Ross,0.249316,819
Hometown Girl,Josh Turner,0.249444,820
Lost Boy,Ruth B.,0.24992,821
Cocaine Model,ZHU,0.249948,822
I'm Ya Dogg,Snoop Dogg,0.250038,823
Everytime We Touch,David Guetta - Sébastian Ingrosso - Joachim Garraud - Chris Willis - Steve Angello,0.250278,824
Livin' 4 Ya,MOTi,0.250318,825
Wonder,Standing Egg,0.250677,826
Complicated,Avril Lavigne,0.25155,827
Cleopatra,The Lumineers,0.251706,828
Confetti Falling,Big Time Rush,0.251764,829
Like A G6,Far East Movement,0.252032,830
Bon Appétit - MUNA Remix,Katy Perry,0.25215,831
Any Ol' Barstool,Jason Aldean,0.252992,832
Stardust,Kevin Oh,0.252997,833
Bulbform,TR/ST,0.253344,834
Rockin' In The Free World,Neil Young,0.253356,835
Fuck You Bitch,Wheeler Walker Jr.,0.253638,836
What I Might Do - Club Mix,Ben Pearce,0.25384,837
Act Like You Don't,Brooke Eden,0.2541,838
This I Promise You - Radio Edit,*NSYNC,0.2541,839
Morning Call - Remix Version,Ibadi,0.254526,840
Adventurers,Holley Maher,0.254775,841
Case Of The Ex (Whatcha Gonna Do),Mýa,0.25506,842
Trap Trap Trap,Rick Ross,0.25515,843
What I Might Do - Club Mix,Ben Pearce,0.255204,844
Family Table,Zac Brown Band,0.255502,845
Borrowed Lives (feat. NVDES),Pierce Fulton,0.255964,846
Rise,Kim Walker-Smith,0.256128,847
Yours If You Want It,Rascal Flatts,0.256373,848
Kids,Iamsu!,0.256683,849
Slow Peels,Com Truise,0.256736,850
Work REMIX,A$AP Ferg,0.256872,851
Don't Let Me Down - Zomboy Remix,The Chainsmokers,0.25761,852
Two Wrongs,Wyclef Jean,0.257715,853
I Know There's Gonna Be (Good Times),Jamie xx,0.258552,854
There's No One Quite Like Grandma - 2003 Remastered Version,St. Winifred's School Choir,0.25872,855
Jumpin' Jack Flash,Ananda Shankar,0.259408,856
Crosstown Traffic,Jimi Hendrix,0.259798,857
La Funky,Destructo feat. Oliver,0.260292,858
The Giver - Original Mix,Duke Dumont,0.260772,859
Sometimes,Heems,0.26091,860
Ain't Always Pretty,Logan Mize,0.26096,861
Kill V. Maim,Grimes,0.261256,862
Somethin' I'm Good At,Brett Eldredge,0.261892,863
So Destroyed (channeling Rage Peace),Prince Rama,0.262042,864
Ultimate,Lindsay Lohan,0.262236,865
The Lady In Red,Chris de Burgh,0.26235,866
Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],Wiley,0.262548,867
Pedestrian at Best,Courtney Barnett,0.26345,868
Hate Bein' Sober,Chief Keef,0.263541,869
Unbreakable,Janet Jackson,0.26356,870
World Restart,Kindness,0.263568,871
T On the Wing,President T,0.263823,872
I Know You Know,Big Time Rush,0.263948,873
First Heartbreak,Tori Kelly,0.264114,874
Maneuvering,ILoveMakonnen,0.264761,875
Limitless (feat. Sophie Rose),Sam F,0.264966,876
"Hold On, We're Going Home",Drake,0.265036,877
Latch,Disclosure,0.265558,878
Man Of The Year,ScHoolboy Q,0.265895,879
Curse of the Spinach,Trout Fishing in America,0.265923,880
Can I Have This Dance,High School Musical Cast,0.266266,881
If Today Was Your Last Day,Nickelback,0.26675,882
Only You,Mac Demarco,0.267168,883
Will You Love Me Tomorrow,The Shirelles,0.267273,884
Cinema - Skrillex Remix,Benny Benassi,0.26797,885
Wild Ones (feat. Sia),Flo Rida,0.268128,886
Nosedive,Dynamic Duo,0.26928,887
Tightrope,WALK THE MOON,0.269459,888
Believe,Cher,0.269689,889
Real Thing,Zac Brown Band,0.269698,890
Without Me,Kina Grannis,0.269724,891
Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,0.269892,892
Middle Of The Night,The Vamps,0.27023,893
Dreams,The Cranberries,0.27084,894
The Wire,HAIM,0.271312,895
How Did I Get Here,ODESZA,0.27181,896
Every Time I Hear That Song,Blake Shelton,0.27196,897
Now You Do,A-1,0.272118,898
Then He Kissed Me,The Crystals,0.272392,899
Young,The Chainsmokers,0.272445,900
Brothers,The War On Drugs,0.27248,901
Move That Dope,Future,0.272552,902
Levitate,Paper Diamond,0.273,903
Yeah Boy,Kelsea Ballerini,0.273296,904
Coming Home,Leon Bridges,0.273448,905
God Is a DJ,P!nk,0.273685,906
NOBO,Tijuana Panthers,0.274222,907
Crush,David Archuleta,0.274342,908
Don't Move,Phantogram,0.274536,909
Follow You,Bring Me The Horizon,0.27486,910
Subways - In Flagranti Extended Edit,The Avalanches,0.2751,911
G.O.M.D.,J. Cole,0.27559,912
I Know There's Gonna Be (Good Times),Jamie xx,0.275796,913
Hey Baby - Steve Aoki Remix,Dimitri Vegas & Like Mike,0.275808,914
Make Them Gold,CHVRCHES,0.276012,915
Joyride,Bassjackers,0.276186,916
Seek Bromance (Avicii Vocal Edit) - Avicii Vocal Edit,Tim Berg,0.27636,917
Money Trees,Kendrick Lamar,0.276386,918
For Her,Chris Lane,0.27642,919
R.I.C.O. (feat. Drake),Meek Mill,0.276987,920
No Waves,FIDLAR,0.27792,921
Be The Change,Britt Nicole,0.277984,922
Skepta Interlude,Drake,0.27863,923
Game Ain't Based On Sympathy,Rick Ross,0.27864,924
dance alot,Various Artists,0.278668,925
Faster than Boyz,Victorious Cast,0.27871,926
Bad Boys,Victorious Cast,0.27888,927
One Night,Lil Yachty,0.279654,928
Wildfire,Demi Lovato,0.280716,929
Easy Rider,Action Bronson,0.281474,930
Grindin’ My Whole Life,HS87,0.281547,931
Operate,ASTR,0.281736,932
"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,0.281896,933
Pleasure Power (DJ Smash Disco Remix),Afrolicious,0.282007,934
Shooting Stars,Bag Raiders,0.282384,935
Runaway,Mr Little Jeans,0.282448,936
Symptom - Original Mix,Deapmash,0.282935,937
Hold My Hand,Jess Glynne,0.283122,938
Heaven,TR/ST,0.283214,939
I Got U,Duke Dumont,0.283386,940
Somebody to Love,Jefferson Airplane,0.283413,941
Powerful,Major Lazer,0.283812,942
I Could Use a Love Song,Maren Morris,0.28391,943
Wet Dreamz,J. Cole,0.284256,944
Levels - Radio Edit,Avicii,0.28435,945
If I Were a Boy,Beyoncé,0.2844,946
Huarache Lights,Hot Chip,0.28457,947
Fireflies,Owl City,0.284862,948
My Friend,EDX,0.284921,949
What's Up?,4 Non Blondes,0.285549,950
Carolina,Harry Styles,0.285792,951
Good Life,Kiso,0.285963,952
Think A Little Less,Michael Ray,0.286029,953
Wu-Tang Forever,Drake,0.286113,954
VERSACE,Flap Jack,0.286286,955
Aquafina (feat. GoldLink & Chaz French),Falcons,0.286533,956
Hulk (Dillon Francis Remix),Clockwork,0.286812,957
Deicide,Crystal Castles,0.286896,958
Safari,J Balvin,0.28702,959
Midnight Sun,Dirtcaps,0.287127,960
Frontier Psychiatrist,The Avalanches,0.287232,961
Last Time for Everything,Brad Paisley,0.287272,962
Fallen in Love (Only With You),Jang Beom June,0.287625,963
All I Have to Give,Backstreet Boys,0.287955,964
Mr Skeng,Stormzy,0.287988,965
Polish Girl,Neon Indian,0.288015,966
Perfect Picture,Bea Miller,0.288045,967
Feel Good,Gryffin,0.2883,968
Twinbow,Slushii,0.2889,969
Find You Here,Ellie Holcomb,0.289296,970
All in Vain,Mot,0.28952,971
Gone,Kina Grannis,0.289629,972
Spacer Woman - Vocal,Charlie,0.290122,973
Language,Porter Robinson,0.290378,974
End Of The Road,Boyz II Men,0.290826,975
Today,Tom Scott,0.290928,976
"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa)",Rocko,0.2916,977
I Know,Sammy Brue,0.291732,978
Most Girls,Hailee Steinfeld,0.29184,979
Principles,Benoit & Sergio,0.29237,980
Headlines,Drake,0.292604,981
Petals on The Wind (Remake Version),Wable,0.29273,982
White Lies - The Soundmen Remix,Max Frost,0.292878,983
Song 2 You,Victorious Cast,0.293136,984
Sooni (I'm your fanatic girl),SunWoo Jung-A,0.293986,985
Wait for a Minute,tUnE-yArDs,0.29467,986
Dill the Noise,Dillon Francis and Kill The Noise,0.29468,987
I Shall Be Released - Remastered,Nina Simone,0.294813,988
Black Out,PALGOU,0.294971,989
Sweater Weather,The Neighbourhood,0.295375,990
Marc Jacobs,Riff Raff,0.295714,991
Auditorium,Mos Def,0.295802,992
(Bonus) Break Her Down,Iamsu!,0.295836,993
Find You,Wahlstedt,0.295938,994
Ahora Dice,Chris Jeday,0.29652,995
Dead Presidents,Rick Ross,0.296576,996
Trust Me Danny,ILoveMakonnen,0.297686,997
Every time we touch,Cascada,0.298143,998
Beloved,Jordan Feliz,0.29848,999
Higher - Extended,Just Blaze and Baauer,0.299088,1000
Passionfruit,Drake,0.299088,1001
What I Might Do,Ben Pearce,0.299166,1002
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,0.29928,1003
Habit - Dack Janiels & Wenzday Remix,Rain Man,0.29939,1004
Mind Tricks,Bassnectar,0.299404,1005
Fools Rush In,Teddy Wilson,0.299409,1006
I Want It That Way,Backstreet Boys,0.299483,1007
When You're Mad,Ne-Yo,0.299532,1008
Hold Me Back,Rick Ross,0.299556,1009
Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah,0.300672,1010
Five Seconds,Twin Shadow,0.30186,1011
Distant Heart,The Seshen,0.30192,1012
"Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic]",Major Lazer,0.302022,1013
"God, Your Mama, And Me",Florida Georgia Line,0.302032,1014
Shape of My Heart,Backstreet Boys,0.302059,1015
The Way You Make Me Feel,Michael Jackson,0.302176,1016
Why I'm Here,Oleander,0.302412,1017
In Love With a Girl,Gavin DeGraw,0.30291,1018
Southern Man - Live,"Crosby, Stills, Nash & Young",0.303432,1019
Strictly 4 My Jeeps,Action Bronson,0.303456,1020
Forever,Chris Brown,0.303744,1021
Marijuana,Chrome Sparks,0.303892,1022
Fake Tales Of San Francisco,Arctic Monkeys,0.303974,1023
Dope,Tyga,0.304368,1024
Reason Why We Have To Break Up,Only U,0.305625,1025
Can’t Live Without,Hollyn,0.305976,1026
Father Stretch My Hands Pt. 1,Kanye West,0.306306,1027
Chrome Knight - Feat. Chromeo,Surkin,0.306478,1028
Pacifier,Young Thug,0.307166,1029
Everybody Loves The Sunshine,Roy Ayers Ubiquity,0.307198,1030
Craving You,Thomas Rhett,0.307224,1031
Man Enough Now,Chris Bandi,0.30732,1032
Two Brothers,Hanni El Khatib,0.307561,1033
Sunday Morning,Parmalee,0.307768,1034
"When Will My Life Begin - From ""Tangled""/Soundtrack Version",Mandy Moore,0.308035,1035
"Love, Love.",Big Brain,0.308052,1036
Powers That Be,Rick Ross,0.308115,1037
"Too Little, Too Late",JoJo,0.30816,1038
Need U (100%) [feat. A*M*E] [Radio Edit],Duke Dumont,0.3082,1039
Breakthrough,The Funkees,0.30834,1040
Tennis Court,Lorde,0.308656,1041
L.A. Story,Sammy Adams,0.308953,1042
Absolutely (Story of a Girl) - Radio Mix,Nine Days,0.309283,1043
The Wall,Matrix & Futurebound,0.309345,1044
Flatliner (feat. Dierks Bentley),Cole Swindell,0.30969,1045
Amazing,Big Time Rush,0.309907,1046
Pale Flesh,Crystal Castles,0.30992,1047
Into Your Arms,The Lemonheads,0.31008,1048
Mannish Boy,Muddy Waters,0.310222,1049
Smell Yo D*ck,Riskay,0.310615,1050
May We All,Florida Georgia Line,0.310856,1051
Good Life (with G-Eazy & Kehlani),G-Eazy,0.311315,1052
In Your Arms,Kina Grannis,0.311808,1053
Sugar for the Queen,Bells Atlas,0.311952,1054
Right On Time,Skrillex,0.312069,1055
Counting Stars,OneRepublic,0.312273,1056
Rise,Danny Gokey,0.312957,1057
VAMOS,Oohyo,0.313055,1058
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,0.31317,1059
I Wanna Be With You,DJ Khaled,0.3132,1060
You Gotta Be,Des'ree,0.3135,1061
Baby Blue,Badfinger,0.313819,1062
Brand New Life,Colton Dixon,0.313833,1063
How Not To,Dan + Shay,0.314127,1064
Don't Threaten Me With A Good Time,Panic! At The Disco,0.314717,1065
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,0.315282,1066
Survivor,Destiny's Child,0.315596,1067
Let It Go - Scott Melker & Mister Gray Remix,NERVO,0.315666,1068
Made Me,Snootie Wild,0.315864,1069
"Girls, Girls, Girls",Mötley Crüe,0.3162,1070
Touch,Little Mix,0.316247,1071
Plastic - Extended Mix,New Order,0.316393,1072
Issues,Julia Michaels,0.3168,1073
Honeymoon Avenue,Ariana Grande,0.317155,1074
"Function - feat. YG, IAmSu & Problem",E-40,0.31716,1075
More Girls Like You,Kip Moore,0.317422,1076
Softest Place On Earth,Xscape,0.317703,1077
Big For Your Boots,Stormzy,0.317755,1078
Save Tonight,Eagle-Eye Cherry,0.317807,1079
Blue Hawaii,ASTR,0.318176,1080
Hercules,Young Thug,0.318318,1081
Summer Dreams,Michael Brun,0.319933,1082
Accelerate,Jungle,0.31997,1083
It Ain't Me (with Selena Gomez),Kygo,0.32,1084
Now Or Never,Halsey,0.3201,1085
Vanilla Twilight,Owl City,0.320131,1086
White Girl,Shy Glizzy,0.32108,1087
Qué Gano Olvidándote - Versión Urbana,Reik,0.32144,1088
Molly Ringwald,Danny Brown,0.321929,1089
By Design,Kid Cudi,0.322056,1090
It Ain’t Me (with Selena Gomez),Kygo,0.322056,1091
Ciao Adios,Anne-Marie,0.322476,1092
Archangel,Burial,0.322608,1093
Digital Animal,Honey Claws,0.322696,1094
Mercy,Kanye West,0.322806,1095
Worldwide,Big Time Rush,0.322848,1096
Catch Me (feat. Naaz),Flux Pavilion,0.32312,1097
Closer (feat. Sarah Hyland),Boyce Avenue,0.323404,1098
Starlight - Radio Mix,SOVI,0.32376,1099
Swerve,ILoveMakonnen,0.323988,1100
Disparate Youth,Santigold,0.324096,1101
Love Song,Sara Bareilles,0.324148,1102
Water Runs Dry,Boyz II Men,0.324258,1103
Human,Rag'n'Bone Man,0.324478,1104
Blue Tacoma,Russell Dickerson,0.324722,1105
Umbrella,Rihanna,0.324819,1106
Taylor Gang - Bonus Track,Wiz Khalifa,0.325404,1107
Flashwind - Radio Edit,Ben Remember,0.325704,1108
Immortals,Fall Out Boy,0.326116,1109
For Your Love - Club Edit,The Partysquad,0.326414,1110
Show You Love,Kato,0.326451,1111
Obsession (feat. Jon Bellion),Vice,0.326781,1112
U Mad,Vic Mensa,0.326878,1113
"Dance, Dance",Fall Out Boy,0.327096,1114
Echoes,Washed Out,0.327484,1115
No Role Modelz,J. Cole,0.327816,1116
Unchained (The Payback / Untouchable),James Brown,0.328248,1117
"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude,0.32832,1118
Outlines,AlunaGeorge,0.329004,1119
Music Is the Answer - Original Extended 12-Inch Mix,Celeda,0.329241,1120
Hunter,Galantis,0.329832,1121
I Want It That Way,Backstreet Boys,0.331938,1122
Candy Rain,Soul For Real,0.33231,1123
Awake,Tycho,0.332856,1124
Inside Out,Eve 6,0.33327,1125
Borrowed Time,Parquet Courts,0.333732,1126
Break Up Every Night,The Chainsmokers,0.334464,1127
All Gold Everything,Trinidad James,0.3348,1128
Forever,Majid Jordan,0.335085,1129
Jelly Beans,The Hipwaders,0.335154,1130
Fast Car (feat. Kina Grannis),Kina Grannis,0.33528,1131
I Dare You,Bea Miller,0.33572,1132
Fam,Saskilla,0.336066,1133
Tupelo (Pt. 1) - Single Version,Albert King,0.336452,1134
Different Colors,WALK THE MOON,0.33648,1135
Oblivion,Grimes,0.336651,1136
Cold,Maroon 5,0.3374,1137
Symphony,Clean Bandit,0.33746,1138
Force of Nature,Bea Miller,0.337554,1139
Caffeinated Consciousness,TV On The Radio,0.3378,1140
Borderline,Classixx,0.33798,1141
Best Friend,Jason Chen,0.338247,1142
